students5_estimated_Int,incomegroup,eng_name,country,countrycode,region,incomegroup,iau_id,iau_id1,eng_name,orig_name,foundedyr,yrclosed,private01,coordinates,latitude,longitude,Title_Of_StudyLevel,count_studylevel,phd_granting,m_granting,b_granting,divisions,total_fields,unique_fields,specialized,merger,noiau,year,students5_interpolated,students5_extrapolated,students5_estimated,LastYear,students5_estimated_Int
147646,Low income,University Of Aleppo,syrian arab republic,SYR,Middle East and North Africa,Low income,IAU-009859,IAU-009859-1,University Of Aleppo,Universitï?½ï?½ d'Alep,1946,,0,"36.2090721, 37.1167657",36.2090721,37.1167657,Phd-Master-Bachelor,3,1,1,1,29,127,102,0,0,0,2020,,147646,147646,2020,147646
130347,Low income,University Of Damascus,syrian arab republic,SYR,Middle East and North Africa,Low income,IAU-009837,IAU-009837-1,University Of Damascus,Jami't Dimasa,1903,,0,"33.5112984, 36.2907898",33.5112984,36.2907898,Phd-Master-Bachelor,3,1,1,1,20,42,37,0,1,0,2020,,130347,130347,2020,130347
122834,Low income,Tishreen University,syrian arab republic,SYR,Middle East and North Africa,Low income,IAU-009838,IAU-009838-1,Tishreen University,Jami't Tishreen,1971,,0,"35.5226306, 35.8072902",35.5226306,35.8072902,Phd-Master-Bachelor,3,1,1,1,26,115,86,0,0,0,2020,,122834,122834,2020,122834
71947,Low income,Addis Ababa University,ethiopia,ETH,Sub-Saharan Africa,Low income,IAU-000106,IAU-000106-1,Addis Ababa University,(AAU),1950,,0,"9.0335063, 38.7636817",9.0335063,38.7636817,Phd-Master-Bachelor,3,1,1,1,13,114,107,0,0,0,2020,,71947,71947,2020,71947
69041,Low income,Addis College,ethiopia,ETH,Sub-Saharan Africa,Low income,IAU-024655,IAU-024655-1,Addis College,Addis College,2000,,1,"9.0290913, 38.7956174",9.0290913,38.7956174,Bachelor,1,0,0,1,3,12,12,0,0,0,2020,,69041,69041,2020,69041
2673333,Upper middle income,The Open University Of China,china,CHN,East Asia and Pacific,Upper middle income,GLUE-166,GLUE-166-1,The Open University Of China,,1979,,0,,,,Master-Bachelor,2,0,1,1,,,49,0,0,1,2020,2673333,2673333,2673333,2020,2673333
1210557,Upper middle income,Islamic Azad University,iran,IRN,Middle East and North Africa,Upper middle income,IAU-003534,IAU-003534-1,Islamic Azad University,Daneshgahe Azad-e-Islami (IAU),1982,,1,"33.4896282, 52.2812618",33.4896282,52.2812618,Phd-Master-Bachelor,3,1,1,1,7,97,95,0,0,0,2020,1210557,1210557,1210557,2020,1210557
1122547,Upper middle income,Anadolu University,turkey,TUR,Europe and Central Asia,Upper middle income,IAU-000948,IAU-000948-2,Anadolu University,Anadolu ï?½ï?½niversitesi,1958,,0,"39.789626, 30.5006587",39.789626,30.5006587,Phd-Bachelor,1,1,0,1,16,68,61,0,1,0,2020,1122547,1122547,1122547,2020,1122547
887839,Upper middle income,University Of Applied Science And Technology,iran,IRN,Middle East and North Africa,Upper middle income,IAU-020014,IAU-020014-1,University Of Applied Science And Technology,Daneshgah Jame Elmi Karbordi (UAST),1992,,0,"35.7017251, 51.4145954",35.7017251,51.4145954,Master,1,0,0,1,4,31,31,0,0,0,2020,,887839,887839,2020,887839
709315,Upper middle income,Open University,indonesia,IDN,East Asia and Pacific,Upper middle income,IAU-019265,IAU-019265-1,Open University,Universitas Terbuka (UT),1984,,0,"-6.344888, 106.758082",-6.344888,106.758082,Master-Bachelor,2,0,1,1,5,44,39,0,0,0,2020,,709315,709315,2020,709315
2222857,Lower middle income,Indira Gandhi National Open University,india,IND,South Asia,Lower middle income,IAU-007811,IAU-007811-1,Indira Gandhi National Open University,Indira Gandhi Rashtriya Mukta Vishwavidyalaya (IGNOU),1985,,0,"28.4892014, 77.2044467",28.4892014,77.2044467,Phd-Master-Bachelor,3,1,1,1,21,47,45,0,0,0,2020,2222857,2222857,2222857,2020,2222857
881785,Lower middle income,Andhra University,india,IND,South Asia,Lower middle income,IAU-000955,IAU-000955-1,Andhra University,Andhra University,1926,,0,"17.7326441, 83.3334095",17.7326441,83.3334095,Phd-Master-Bachelor,3,1,1,1,5,67,65,0,1,0,2020,881785,881785,881785,2020,881785
753285,Lower middle income,Bangladesh Open University,bangladesh,BGD,South Asia,Lower middle income,IAU-001437,IAU-001437-1,Bangladesh Open University,Bangladesh Open University,1992,,0,"23.9513712, 90.3796948",23.9513712,90.3796948,Master-Bachelor,2,0,1,1,6,26,24,0,0,0,2020,753285,753285,753285,2020,753285
621672,Lower middle income,Mandalay University Of Distance Education,myanmar,MMR,East Asia and Pacific,Lower middle income,IAU-011339,IAU-011339-1,Mandalay University Of Distance Education,(MUDE),1992,,0,"21.9699229, 96.0829641",21.9699229,96.0829641,Phd-Master-Bachelor,3,1,1,1,6,15,15,0,0,0,2020,,621672,621672,2020,621672
598254,Lower middle income,Yashwantrao Chavan Maharashtra Open University,india,IND,South Asia,Lower middle income,IAU-021674,IAU-021674-1,Yashwantrao Chavan Maharashtra Open University,(YCMOU),1989,,0,"20.0205597, 73.69104",20.0205597,73.69104,Phd-Master-Bachelor,3,1,1,1,8,26,25,0,0,0,2020,,598254,598254,2020,598254
219410,High income,University Of London\nSchool Of Advanced Study,united kingdom,GBR,Europe and Central Asia,High income,IAU-020232-020242,IAU-020232-020242-1,University Of London\nSchool Of Advanced Study,(SAS),1994,,0,"51.5210743, -0.1287353",51.5210743,-0.1287353,Phd-Master,2,1,1,0,8,25,20,0,0,0,2020,219410,219410,219410,2020,219410
219410,High income,University Of London\nThe Courtauld Institute Of Art,united kingdom,GBR,Europe and Central Asia,High income,IAU-020232-020245,IAU-020232-020245-1,University Of London\nThe Courtauld Institute Of Art,The Courtauld Institute of Art,1932,,0,"51.5116015, -0.1173968",51.5116015,-0.1173968,Phd-Master-Bachelor,3,1,1,1,2,3,3,0,0,0,2020,219410,219410,219410,2020,219410
219410,High income,University Of London\nThe Institute Of Cancer Research,united kingdom,GBR,Europe and Central Asia,High income,IAU-020232-020246,IAU-020232-020246-1,University Of London\nThe Institute Of Cancer Research,(ICR),1909,,0,"51.344284, -0.1888339",51.344284,-0.1888339,Phd-Master,2,1,1,0,15,22,14,0,0,0,2020,219410,219410,219410,2020,219410
