region,incomegroup,foundedyr
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1991
South Asia,Lower middle income,2010
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1935
Europe and Central Asia,Upper middle income,1921
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1990
South Asia,Lower middle income,2012
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1944
Europe and Central Asia,Upper middle income,1921
Europe and Central Asia,Upper middle income,1935
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1996
Latin America and Caribbean,High income,1988
Latin America and Caribbean,High income,1990
East Asia and Pacific,High income,1991
East Asia and Pacific,High income,1984
East Asia and Pacific,High income,1897
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,1987
East Asia and Pacific,High income,1924
East Asia and Pacific,High income,1967
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1989
South Asia,Lower middle income,2013
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,1974
East Asia and Pacific,High income,1991
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,1971
East Asia and Pacific,High income,1961
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,1964
East Asia and Pacific,High income,1964
South Asia,Lower middle income,1958
East Asia and Pacific,High income,1961
East Asia and Pacific,High income,1890
South Asia,Lower middle income,2012
East Asia and Pacific,High income,1958
East Asia and Pacific,High income,1973
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,2005
East Asia and Pacific,High income,1887
East Asia and Pacific,High income,1970
